t,S,I,R
23.451813009257602,112,67,321
23.48096407927742,111,68,321
23.518581144134913,111,67,322
23.53423223342659,110,68,322
23.536995313190502,110,67,323
23.55537173341716,110,66,324
23.63182768590503,110,65,325
23.647574335604364,110,64,326
23.66792317329093,110,63,327
23.669916105668317,110,62,328
23.72191677292641,110,61,329
23.72818333379552,110,60,330
23.823244136135816,110,59,331
23.891536992960383,110,58,332
23.953864121477473,110,57,333
23.978484003965654,110,56,334
24.01605575228863,110,55,335
24.040318078836666,110,54,336
24.04689765958648,110,53,337
24.075804090731932,110,52,338
24.08153919959725,109,53,338
24.14074328196479,109,52,339
24.151086079258096,109,51,340
24.261970322134065,108,52,340
24.279937288779287,108,51,341
24.33177748506202,107,52,341
24.449202080319957,106,53,341
24.72834731862884,105,54,341
24.7556078184657,105,53,342
24.922466367730607,104,54,342
25.106064697870753,104,53,343
25.13022991997887,104,52,344
25.189896854965472,104,51,345
25.2011427037329,104,50,346
25.25093242900985,103,51,346
25.273867721981926,103,50,347
25.283215908034833,103,49,348
25.284061548662287,102,50,348
25.292617462319743,102,49,349
25.31439421076933,102,48,350
25.343928363040565,102,47,351
25.36092601401866,102,46,352
25.519867855329014,102,45,353
25.531649231743714,102,44,354
25.66978741960936,102,43,355
25.728457852977176,102,42,356
26.12474700856948,102,41,357
26.126395059018854,101,42,357
26.127702722164006,101,41,358
26.16580876565746,101,40,359
26.24993849091841,101,39,360
26.264040890631726,101,38,361
26.383917606442083,100,39,361
26.414271079641406,100,38,362
26.453154033844026,100,37,363
26.49044399948206,100,36,364
26.651975393505445,100,35,365
26.831994735071437,100,34,366
26.84006701067464,99,35,366
26.900745105491836,99,34,367
26.94859036417661,99,33,368
27.11795779515205,98,34,368
27.269313561691668,98,33,369
27.273242270987144,98,32,370
27.429837792323273,98,31,371
27.723284934849726,98,30,372
27.743734639074557,98,29,373
27.888494667023515,97,30,373
28.052964264535106,97,29,374
28.119129449345877,97,28,375
28.19472225302142,96,29,375
28.714494299694845,96,28,376
29.07072241553741,95,29,376
29.295337292657344,94,30,376
29.310483161950632,93,31,376
29.500069275359333,93,30,377
29.974183132934428,93,29,378
30.232069995611386,92,30,378
30.436049586316386,91,31,378
30.659006951843434,90,32,378
30.77249347350457,90,31,379
30.913546854923226,90,30,380
30.936588700790868,90,29,381
31.208012373952005,89,30,381
31.283693149980397,88,31,381
31.665036163442256,88,30,382
32.162467314899494,87,31,382
32.531932460008576,87,30,383
33.04075167574444,87,29,384
33.100686503564795,86,30,384
33.24900157322365,85,31,384
33.35177881809232,84,32,384
33.414687561762484,84,31,385
33.482633632642,84,30,386
33.498303083164444,84,29,387
33.68336712684184,84,28,388
33.82580133146258,84,27,389
33.88235030928868,84,26,390
33.90162103034085,83,27,390
33.97085931990649,83,26,391
34.68025934093895,82,27,391
34.911264649986435,82,26,392
34.932904655717095,82,25,393
35.261391803112716,82,24,394
35.85045507648829,82,23,395
35.87634166224246,81,24,395
35.90508032618387,81,23,396
35.98065078394416,81,22,397
36.23465671521876,81,21,398
36.49211221162773,81,20,399
36.67817604992541,80,21,399
36.99914981034555,80,20,400
37.13770548489438,80,19,401
37.267587982378025,80,18,402
37.32360192468866,80,17,403
37.46329824557839,80,16,404
37.67208022264422,80,15,405
38.1190185126579,79,16,405
38.8264360726954,79,15,406
38.85436308313027,79,14,407
38.99999224243509,79,13,408
39.22470683440362,79,12,409
39.48489254927754,79,11,410
39.61280618717286,79,10,411
40.41900829068981,79,9,412
40.42296395594831,79,8,413
41.85920164988365,79,7,414
42.637236412255255,79,6,415
42.752644475319634,78,7,415
43.92425215240127,77,8,415
44.476851620811814,77,7,416
44.62604448429506,76,8,416
45.24596853978868,76,7,417
45.960757875352,76,6,418
47.98125898201344,75,7,418
48.352514015945,75,6,419
51.07013245141722,75,5,420
51.07984437722059,74,6,420
51.52954570679996,74,5,421
51.702147041048065,74,4,422
54.96539619408711,74,3,423
56.90397031579111,74,2,424
61.76805447376732,73,3,424
62.36025344959065,72,4,424
64.17147105304427,72,3,425
65.4910284191011,72,2,426
68.41061362112156,71,3,426
70.70224234726638,70,4,426
73.15669655688842,69,5,426
73.19530946804895,68,6,426
73.32536670726707,68,5,427
73.38933259076734,68,4,428
74.66376829797422,68,3,429
76.00439805215605,68,2,430
79.36527988196481,68,1,431
